ID,Academic Background,Major,Interests,Skills,Job Position,Salary (SAR/month),Certifications,Tools,Job Description,Suggested Learning Path
30,Technology,Data Science,"Blockchain, Machine Learning, Data Science","React, Data Analysis, Machine Learning, C++",AI Engineer,26250 - 67500 SAR,"None, Google ML Certification","Power BI, MATLAB, Jupyter Notebook","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
31,Business,Finance,"Digital Marketing, Consulting, Sales","Market Research, Negotiation, Social Media Marketing, Google Analytics",Data Analyst,16875 - 45000 SAR,"None, Google Data Analytics Certificate","Google Analytics, Trello, HubSpot","Extracts insights from large datasets using Python, SQL, and visualization tools to support business decisions.","SQL for Data Science, Google Data Analytics Certificate, Power BI & Tableau"
32,Business,Project Management,"Business Strategy, Entrepreneurship, Consulting","Supply Chain Management, Presentation Skills, Financial Analysis, Social Media Marketing",Financial Analyst,22500 - 60000 SAR,"Chartered Financial Analyst (CFA), None","Microsoft Power BI, HubSpot, Hootsuite","Analyzes financial data, creates reports, and provides strategic recommendations for business growth.","Financial Modeling & Valuation, CFA Preparation Courses, Investment Analysis"
33,Technology,Cyber Security,"Cloud Computing, Machine Learning, Data Science","TensorFlow, Data Analysis, Python, Cloud Computing",Frontend Developer,15000 - 45000 SAR,"None, Certified JavaScript Developer","Power BI, Arduino, IBM Watson","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
34,Business,Project Management,"Consulting, Business Strategy, Entrepreneurship","Social Media Marketing, Negotiation, Financial Analysis, Advertising",Strategy Consultant,22500 - 60000 SAR,"Six Sigma Black Belt, None","Asana, Oracle ERP, Slack","Provides expert advice to businesses entering the Saudi market, focusing on regulatory compliance, market expansion, and financial strategies.","Business Strategy & Competitive Analysis, Financial Modeling, Market Research & Consulting"
35,Technology,AI & Robotics,"Blockchain, App Development, Web Development","TensorFlow, Data Analysis, AWS, API Development",AI Engineer,26250 - 67500 SAR,"Google ML Certification, TensorFlow Developer Certificate","IBM Watson, Microsoft Azure, Google Cloud","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
36,Technology,Cyber Security,"Cloud Computing, Blockchain, Machine Learning","Kubernetes, SQL, AWS, TensorFlow",AI Engineer,26250 - 67500 SAR,"TensorFlow Developer Certificate, None","Arduino, Apache Spark, TensorFlow","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
37,Technology,AI & Robotics,"Machine Learning, Cloud Computing, Data Science","TensorFlow, Data Analysis, Blockchain, Android Development",Frontend Developer,26250 - 67500 SAR,"None, Google Mobile Web Specialist","Jupyter Notebook, Docker, Google Cloud","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
38,Technology,Software Engineering,"App Development, Web Development, Machine Learning","API Development, Android Development, Blockchain, React",Cloud Architect,18750 - 56250 SAR,"AWS Certified Solutions Architect, None","Power BI, Oracle Cloud, MATLAB","Designs and manages cloud solutions for large enterprises, government entities, and startups in Saudi Arabia, focusing on compliance with local data security laws.","AWS Certified Solutions Architect, Google Cloud Platform Training, Azure Cloud Security"
39,Technology,Computer Science,"Web Development, Cloud Computing, Data Science","Kubernetes, TensorFlow, Data Analysis, Android Development",Frontend Developer,26250 - 67500 SAR,"None, Certified JavaScript Developer","MATLAB, Arduino, Google Cloud","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
40,Design,Animation,"Illustration, UI/UX, Branding","Brand Identity, Typography, Wireframing, UI/UX Research",UI/UX Designer,18750 - 52500 SAR,"Google UX Design Certificate, Adobe Certified Expert","Cinema 4D, Adobe XD, Figma","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
41,Design,Graphic Design,"3D Design, UI/UX, Motion Graphics","3D Animation, UI/UX Research, Product Prototyping, Illustrator",UX Engineer,16875 - 45000 SAR,None,"Blender, CorelDRAW, Adobe XD","Combines user experience design principles with front-end development, focusing on creating interactive and accessible digital experiences.",General Career Development
42,Design,Graphic Design,"Motion Graphics, Illustration, UI/UX","Wireframing, Graphic Design, Brand Identity, 3D Animation",Product Designer,18750 - 52500 SAR,"None, Certified Design Thinking Professional","Procreate, Blender, Maya",Combines UI/UX and industrial design principles to develop consumer products and digital experiences optimized for the Saudi market.,"Product Thinking & Strategy, Prototyping with Figma, 3D Product Visualization"
43,Business,Finance,"Business Strategy, Consulting, Entrepreneurship","SEO, Google Analytics, Financial Analysis, Market Research",HR Specialist,16875 - 45000 SAR,"PMP, HR Professional Certificate","Oracle ERP, Google Analytics, Asana","Manages recruitment and employee relations for Saudi-based companies, ensuring compliance with labor laws and Saudization policies.","HR Analytics & People Management, Recruitment & Talent Acquisition, Employee Engagement"
44,Technology,Data Science,"Web Development, Machine Learning, Data Science","Kubernetes, AWS, Machine Learning, Python",AI Engineer,18750 - 56250 SAR,"Google ML Certification, None","Jupyter Notebook, MATLAB, Microsoft Azure","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
45,Business,Project Management,"Consulting, Digital Marketing, Business Strategy","Salesforce, SEO, E-commerce, Market Research",Data Analyst,16875 - 45000 SAR,"Google Data Analytics Certificate, None","Trello, Microsoft Power BI, Slack","Extracts insights from large datasets using Python, SQL, and visualization tools to support business decisions.","SQL for Data Science, Google Data Analytics Certificate, Power BI & Tableau"
46,Business,Marketing,"Sales, Consulting, Business Strategy","SEO, Presentation Skills, Google Analytics, Financial Analysis",Financial Analyst,20625 - 56250 SAR,"None, Certified Financial Planner (CFP)","Microsoft Power BI, Trello, Google Analytics","Analyzes financial data, creates reports, and provides strategic recommendations for business growth.","Financial Modeling & Valuation, CFA Preparation Courses, Investment Analysis"
47,Design,Animation,"UI/UX, 3D Design, Illustration","Wireframing, Blender, Typography, After Effects",Graphic Designer,13125 - 37500 SAR,"3D Modeling Certification, Adobe Certified Expert","CorelDRAW, Sketch, Canva","Creates branding and marketing materials for Saudi businesses, including social media campaigns, product packaging, and corporate identity materials.","Advanced Photoshop Techniques, 3D Design with Blender, Typography & Branding"
48,Business,Finance,"Consulting, Entrepreneurship, Business Strategy","Google Analytics, E-commerce, Supply Chain Management, Salesforce",Sales Manager,16875 - 45000 SAR,"None, Salesforce Certification","Oracle ERP, Hootsuite, HubSpot","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
49,Technology,Cyber Security,"Blockchain, Data Science, Machine Learning","API Development, Cloud Computing, TensorFlow, Python",Software Engineer,26250 - 67500 SAR,"Microsoft Azure Developer, AWS Certified","Google Cloud, Oracle Cloud, TensorFlow","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
50,Design,UI/UX,"UI/UX, Motion Graphics, Branding","Typography, After Effects, Blender, Graphic Design",Motion Graphics Designer,13125 - 37500 SAR,"Adobe After Effects Certification, None","Figma, Canva, Procreate","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
51,Design,UI/UX,"3D Design, Illustration, Motion Graphics","Figma, Cinema 4D, Product Prototyping, Brand Identity",UX Engineer,18750 - 52500 SAR,None,"Affinity Designer, ZBrush, Canva","Combines user experience design principles with front-end development, focusing on creating interactive and accessible digital experiences.",General Career Development
52,Technology,Data Science,"Web Development, App Development, Cloud Computing","Data Analysis, AWS, SQL, API Development",Cybersecurity Analyst,18750 - 56250 SAR,"Certified Ethical Hacker (CEH), CompTIA Security+","Power BI, Oracle Cloud, IBM Watson","Monitors security threats, ensures compliance with Saudi Arabian cybersecurity regulations (such as NCA standards), and protects critical infrastructure.","Ethical Hacking Certification, Network Security Fundamentals, Incident Response Training"
53,Business,Human Resources,"Sales, Entrepreneurship, Business Strategy","E-commerce, Supply Chain Management, Financial Analysis, Negotiation",Sales Manager,22500 - 60000 SAR,"Salesforce Certification, None","Trello, Microsoft Power BI, Asana","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
54,Design,Product Design,"UI/UX, Motion Graphics, 3D Design","Graphic Design, Illustrator, Figma, Cinema 4D",3D Artist,18750 - 52500 SAR,"None, Blender Certification","Blender, Maya, Canva","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
55,Business,Human Resources,"Consulting, Digital Marketing, Business Strategy","Excel, Presentation Skills, Google Analytics, SEO",Sales Manager,22500 - 60000 SAR,"Salesforce Certification, None","Trello, Oracle ERP, SAP","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
56,Business,Finance,"Consulting, Business Strategy, Entrepreneurship","Advertising, Salesforce, Project Management, E-commerce",Fintech Business Analyst,16875 - 45000 SAR,"Fintech & Blockchain Certification, None","Asana, Slack, SAP",Bridges finance and technology by working with developers to optimize fintech solutions and ensure regulatory compliance.,"Blockchain & Cryptocurrency Fundamentals, AI in Financial Services, RegTech & Compliance"
57,Design,UI/UX,"3D Design, Illustration, Motion Graphics","After Effects, Wireframing, 3D Animation, Typography",3D Artist,18750 - 52500 SAR,"3D Animation Certificate, None","Affinity Designer, Maya, Blender","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
58,Technology,Cyber Security,"Data Science, App Development, Web Development","C++, AWS, Data Analysis, Blockchain",AI Engineer,15000 - 45000 SAR,"None, Google ML Certification","Microsoft Azure, Google Cloud, Oracle Cloud","Develops AI and machine learning models for smart city projects, autonomous vehicles, and intelligent customer service applications tailored to Saudi businesses.","Neural Networks and Deep Learning, AI for Business, Reinforcement Learning"
59,Technology,Computer Science,"Machine Learning, Data Science, Web Development","API Development, C++, Python, Blockchain",Cybersecurity Analyst,26250 - 67500 SAR,"CompTIA Security+, None","GitHub, Power BI, TensorFlow","Monitors security threats, ensures compliance with Saudi Arabian cybersecurity regulations (such as NCA standards), and protects critical infrastructure.","Ethical Hacking Certification, Network Security Fundamentals, Incident Response Training"
60,Design,UI/UX,"3D Design, UI/UX, Illustration","UI/UX Research, Blender, After Effects, 3D Animation",UX Engineer,18750 - 52500 SAR,None,"CorelDRAW, Affinity Designer, Cinema 4D","Combines user experience design principles with front-end development, focusing on creating interactive and accessible digital experiences.",General Career Development
61,Business,Human Resources,"Digital Marketing, Entrepreneurship, Consulting","Negotiation, Google Analytics, Market Research, Advertising",Financial Analyst,20625 - 56250 SAR,"Chartered Financial Analyst (CFA), Certified Financial Planner (CFP)","Hootsuite, Slack, Trello","Analyzes financial data, creates reports, and provides strategic recommendations for business growth.","Financial Modeling & Valuation, CFA Preparation Courses, Investment Analysis"
62,Business,Marketing,"Sales, Consulting, Entrepreneurship","Presentation Skills, Financial Analysis, SEO, Advertising",HR Specialist,16875 - 45000 SAR,"HR Professional Certificate, None","Monday.com, Microsoft Power BI, Hootsuite","Manages recruitment and employee relations for Saudi-based companies, ensuring compliance with labor laws and Saudization policies.","HR Analytics & People Management, Recruitment & Talent Acquisition, Employee Engagement"
63,Technology,Computer Science,"Cloud Computing, Blockchain, Web Development","Blockchain, Swift, Data Analysis, React",Frontend Developer,15000 - 45000 SAR,"Google Mobile Web Specialist, Certified JavaScript Developer","Arduino, Google Cloud, MATLAB","Designs and builds user-friendly interfaces in Arabic and English, ensuring accessibility and responsiveness for Saudi-based web platforms and mobile applications.","JavaScript Mastery, React.js Development, Web Performance Optimization"
64,Business,Project Management,"Consulting, Business Strategy, Digital Marketing","Market Research, Salesforce, Presentation Skills, E-commerce",Financial Analyst,22500 - 60000 SAR,"None, Chartered Financial Analyst (CFA)","HubSpot, Oracle ERP, Asana","Analyzes financial data, creates reports, and provides strategic recommendations for business growth.","Financial Modeling & Valuation, CFA Preparation Courses, Investment Analysis"
65,Technology,Computer Science,"Machine Learning, Data Science, Blockchain","AWS, Machine Learning, Java, Cloud Computing",Software Engineer,26250 - 67500 SAR,"AWS Certified, Microsoft Azure Developer","Oracle Cloud, Power BI, Docker","Develops software applications tailored to the Saudi market, ensuring compliance with local business regulations and user needs. Works on web and mobile applications for fintech, government, and e-commerce platforms.","Advanced Python Programming, Full-Stack Web Development, Software Architecture"
66,Design,Graphic Design,"3D Design, Illustration, UI/UX","Product Prototyping, Figma, Cinema 4D, UI/UX Research",3D Artist,16875 - 45000 SAR,"Blender Certification, 3D Animation Certificate","Blender, ZBrush, Sketch","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
67,Design,Graphic Design,"Motion Graphics, 3D Design, UI/UX","Cinema 4D, Blender, After Effects, Illustrator",UI/UX Designer,13125 - 37500 SAR,"Adobe Certified Expert, Google UX Design Certificate","Sketch, Canva, CorelDRAW","Creates user-friendly interfaces with a focus on bilingual (Arabic-English) design, accessibility, and cultural preferences. Works with Saudi fintech, healthcare, and retail industries.","User Research Methods, Design Systems & Prototyping, Figma & Adobe XD Mastery"
68,Design,UI/UX,"UI/UX, Branding, Illustration","Illustrator, Graphic Design, Sketch, UI/UX Research",3D Artist,13125 - 37500 SAR,"Blender Certification, 3D Animation Certificate","Cinema 4D, Adobe XD, Sketch","Designs 3D assets for gaming, architectural visualization, and media production in Saudi Arabia, using tools like Blender and Cinema 4D.",General Career Development
69,Design,Animation,"Branding, Illustration, UI/UX","UI/UX Research, Sketch, 3D Animation, Product Prototyping",Product Designer,18750 - 52500 SAR,"Certified Design Thinking Professional, None","ZBrush, Procreate, Sketch",Combines UI/UX and industrial design principles to develop consumer products and digital experiences optimized for the Saudi market.,"Product Thinking & Strategy, Prototyping with Figma, 3D Product Visualization"
70,Technology,Computer Science,"Blockchain, Data Science, Cloud Computing","Swift, Cloud Computing, Data Analysis, Kubernetes",Data Scientist,15000 - 45000 SAR,"None, Google Data Analytics Certificate","Docker, Tableau, Apache Spark","Analyzes large datasets relevant to Saudi Arabia's industries such as oil and gas, banking, and retail. Develops AI-driven insights to improve business decisions and customer experiences.","Machine Learning with Python, Deep Learning Specialization, Big Data Analytics"
71,Design,Product Design,"UI/UX, Branding, 3D Design","Brand Identity, Figma, Adobe Photoshop, Illustrator",Motion Graphics Designer,18750 - 52500 SAR,"None, Motion Graphics Pro","Blender, ZBrush, Procreate","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
72,Design,Graphic Design,"3D Design, Branding, Motion Graphics","Brand Identity, Motion Graphics, 3D Animation, Sketch",Motion Graphics Designer,18750 - 52500 SAR,"Adobe After Effects Certification, Motion Graphics Pro","Sketch, Cinema 4D, Figma","Produces animated content for advertising agencies, entertainment companies, and digital media projects in Saudi Arabia.",General Career Development
73,Technology,Computer Science,"Blockchain, App Development, Web Development","SQL, C++, Python, Machine Learning",Cybersecurity Analyst,18750 - 56250 SAR,"CompTIA Security+, Certified Ethical Hacker (CEH)","Docker, GitHub, MATLAB","Monitors security threats, ensures compliance with Saudi Arabian cybersecurity regulations (such as NCA standards), and protects critical infrastructure.","Ethical Hacking Certification, Network Security Fundamentals, Incident Response Training"
74,Business,Human Resources,"Entrepreneurship, Digital Marketing, Business Strategy","Google Analytics, E-commerce, Salesforce, Supply Chain Management",Sales Manager,22500 - 60000 SAR,"None, Salesforce Certification","SAP, Salesforce, HubSpot","Leads sales teams for multinational and local businesses in Saudi Arabia, develops partnerships, and drives revenue growth.","Advanced Negotiation Skills, CRM & Sales Automation, B2B Marketing Strategies"
75,Design,UI/UX,"UI/UX, Branding, 3D Design","Adobe Photoshop, Brand Identity, After Effects, 3D Animation",Product Designer,16875 - 45000 SAR,"Certified Design Thinking Professional, None","ZBrush, Adobe XD, Canva",Combines UI/UX and industrial design principles to develop consumer products and digital experiences optimized for the Saudi market.,"Product Thinking & Strategy, Prototyping with Figma, 3D Product Visualization"
